game_id,stack,position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,last_raise__preflop_player,mise en cas de raise/bet,decision
808941103,30.0,3,9,Jd Jc,2.5,7,1.0,-3,4.0,raises
808941103,26.0,0,9,Jd Jc,17.0,2,11.0,1,0.0,folds
808943744,30.0,6,9,9c Ac,1.5,9,1.0,-3,3.0,raises
808942446,30.0,5,9,6d 4d,1.5,8,1.0,-3,0.0,folds
808941818,30.0,4,9,7d Qc,1.5,7,1.0,-3,0.0,folds
808941048,10.0,5,9,9s 3d,0.75,8,0.5,-3,0.0,folds
808940729,30.0,2,6,Qh 5s,4.0,6,2.5,3,0.0,folds
808940590,10.0,4,9,4c 9d,0.75,7,0.5,-3,0.0,folds
808940297,30.0,2,9,5d Jc,4.5,6,3.0,3,0.0,folds
808940090,7.5,2,6,9c Qc,0.35,6,0.25,-3,0.62,raises
808940090,6.88,0,6,9c Qc,2.37,3,1.5,2,0.0,folds
808939998,15.0,3,9,As Ks,2.25,7,1.5,4,9.0,raises
808939998,6.0,0,9,As Ks,46.7,2,35.45,1,11.74,raises
808939929,20.0,2,5,4c Kh,1.5,5,1.0,-3,0.0,folds
808939859,30.0,1,6,3s Jc,1.5,4,1.0,-3,0.0,folds
808939505,30.0,1,8,6h 4s,4.5,5,3.0,2,0.0,folds
808939395,20.0,1,5,As Kd,1.5,4,1.0,-3,2.5,raises
808939358,7.5,1,6,Jh 6s,0.6,5,0.25,-3,0.0,folds
808939170,30.0,2,6,Kc Qs,3.5,6,2.0,3,0.0,folds
808939003,30.0,0,6,8d 6c,3.5,4,2.0,1,0.0,folds
808938940,30.0,0,8,Kd Qd,10.5,5,7.0,1,0.0,folds
808938770,30.0,1,5,3s Jh,1.5,4,1.0,-3,0.0,folds
808938724,20.0,0,4,Th Kh,1.5,3,1.0,-3,2.3,raises
808938541,15.0,2,9,8c 2c,2.25,6,1.5,3,0.0,folds
808938481,30.0,0,5,Th Qd,1.5,3,1.0,-3,2.3,raises
808938453,30.0,2,6,5c Kc,1.5,5,1.0,-3,0.0,folds
808938388,6.72,0,6,Kc As,1.35,5,0.5,2,3.2,raises
808938165,7.5,3,7,Ah Jh,0.35,6,0.25,-3,0.75,raises
808938125,29.5,3,8,4d 8c,7.5,4,2.5,1,0.0,folds
808938076,29.5,2,5,Ac 3s,3.5,3,1.5,0,0.0,folds
808938020,29.5,2,6,8s Jh,4.0,3,2.0,0,0.0,folds
808938009,6.720000000000001,2,6,5h 4h,0.85,3,0.4,0,0.0,folds
808937981,15.0,1,9,9d Th,0.75,4,0.5,-3,0.0,folds
808937629,30.0,1,6,4c 7d,1.5,4,1.0,-3,0.0,folds
808937583,29.0,1,8,Qc 8h,5.0,2,2.5,0,0.0,folds
808937473,19.5,-2,4,Ts Kc,3.5,3,1.5,0,0.0,folds
808937464,29.0,1,5,Kd 5c,3.5,2,1.0,0,0.0,folds
808937458,29.0,1,6,8d 7s,3.5,2,1.0,0,0.0,folds
808937237,30.0,0,5,6c 3s,1.5,3,1.0,-3,0.0,folds
808937195,28.73,0,5,Ah 8d,1.5,3,1.0,-3,2.3,raises
808937183,30.0,5,8,Qc Ah,1.5,8,1.0,-3,3.0,raises
808937169,7.5,2,7,Jd Th,0.35,5,0.25,-3,0.0,folds
