game_id,stack,river_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__turn_player,last_raise_riverplayer,flop,turn,river,mise en cas de raise/bet,decision
808938724,15.7,0,4,Th Kh,10.899999999999999,2,0.0,0.4101010101010101,0,0,-1,-1,6d Ad 5d,7c,5h,0.0,checks
808938165,6.01,0,7,Ah Jh,6.25,2,2.42,0.6262626262626263,0,0,-1,1,8c Js Qd,9d,6s,0.0,folds
808936976,6.53,0,6,Jd 6c,3.17,2,1.23,0.6161616161616161,0,0,1,1,6s 8d 3c,Ks,2s,0.0,folds
808931232,23.57,1,6,Ah 3c,12.86,2,10.0,0.9126262626262627,0,0,1,-1,5c 2c 6h,4h,Jd,10.0,bets
808931130,4.7,0,3,9c As,1.94,3,0.0,0.3368686868686869,0,0,-1,-1,5s Qc 7d,Ts,Js,0.0,checks
808929328,14.09,1,5,7d 6d,17.5,2,0.0,0.6272727272727273,0,0,0,-1,4d Jh 6s,2s,9d,0.0,checks
808929328,14.09,1,5,7d 6d,59.0,2,41.5,0.6272727272727273,0,0,0,0,4d Jh 6s,2s,9d,14.09,raises
808925286,4.11,0,6,Qc Kc,2.6300000000000003,2,0.0,0.748989898989899,0,0,-1,-1,As Js Kd,Qh,8s,0.0,checks
808923830,4.75,1,6,7d Th,0.6,2,0.0,0.1383838383838384,0,0,-1,-1,3c Ad Jc,Ac,9c,0.0,checks
808923830,4.75,1,6,7d Th,1.03,2,0.43,0.1383838383838384,0,0,-1,0,3c Ad Jc,Ac,9c,0.0,folds
808922438,23.57,1,5,Qs Js,12.86,2,0.0,0.2873737373737374,0,0,-1,-1,2h Kc 5h,8d,Td,0.0,checks
808921719,4.6499999999999995,1,5,Ad 5s,1.5899999999999999,2,0.0,0.2676767676767677,0,0,-1,-1,9c 8h 4s,Qh,6h,0.0,checks
808919518,15.15,1,5,4h 7h,10.2,2,0.0,0.7111111111111111,0,0,-1,-1,7d 3h Jd,Kc,Js,0.0,checks
